AVOIDS ENORMOUS NETWORK PAYLOADS
URL;TRANSFER SIZE
https://it.wikipedia.org/wiki/Pagina_principale;27218 bytes
https://it.wikipedia.org/w/load.php?lang=it&modules=startup&only=scripts&raw=1&skin=vector;20923 bytes
https://it.wikipedia.org/w/load.php?lang=it&modules=ext.visualEditor.core.utils.parsing%7Cext.visualEditor.desktopArticleTarget.init%7Cext.visualEditor.progressBarWidget%2CsupportCheck%2CtargetLoader%2CtempWikitextEditorWidget%2Ctrack%2Cve&skin=vector&version=1k9ls;18948 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Tau_ceti_map.png/147px-Tau_ceti_map.png;18863 bytes
https://www.wikipedia.it/sharedheader.css;18361 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Vicenza_banner2.jpg/260px-Vicenza_banner2.jpg;13028 bytes
https://it.wikipedia.org/w/load.php?lang=it&modules=ext.gadget.ExternalSearch%2CForm-valutazione-enc%2CHiddenCat%2CInterProject%2CMainPageWikiList%2CNewSection%2COpenStreetMap%2CReferenceTooltips%2CRequests-Wizard%2CRichiediRevisioneBozza%2CWikiMiniAtlas%2Cstru-commonsupload&skin=vector&version=ij9gi;10523 bytes
https://it.wikipedia.org/w/load.php?lang=it&modules=ext.uls.interlanguage%7Cext.visualEditor.desktopArticleTarget.noscript%7Cext.wikimediaBadges%7Cskins.vector.styles.legacy&only=styles&skin=vector;10473 bytes
https://it.wikipedia.org/static/images/project-logos/itwiki.png;9224 bytes
https://upload.wikimedia.org/wikipedia/commons/8/8c/Bluebg_rounded_croped.png;8089 bytes

JAVASCRIPT EXECUTION TIME
URL;SCRIPT PARSE;SCRIPT EVALUATION;TOTAL CPU TIME
https://it.wikipedia.org/wiki/Pagina_principale;3.329 ms;9.39 ms;306.94799999999987 ms

MINIMIZES MAIN-THREAD WORK
TIME SPENT;CATEGORY
218.2619999999999 ms;Style & Layout text
86.9790000000001 ms;Other text
34.789999999999985 ms;Parse HTML & CSS text
33.800999999999966 ms;Rendering text
27.482999999999993 ms;Script Evaluation text
9.009 ms;Script Parsing & Compilation text
0.989 ms;Garbage Collection text

SERVE STATIC ASSETS WITH AN EFFICIENT CACHE POLICY
URL;CACHE TTL;TRANSFER SIZE
https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Tau_ceti_map.png/147px-Tau_ceti_map.png; ms;18863 bytes
https://www.wikipedia.it/sharedheader.css; ms;18361 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Vicenza_banner2.jpg/260px-Vicenza_banner2.jpg; ms;13028 bytes
https://upload.wikimedia.org/wikipedia/commons/8/8c/Bluebg_rounded_croped.png; ms;8089 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Serao_-_La_conquista_di_Roma.djvu/page9-170px-Serao_-_La_conquista_di_Roma.djvu.jpg; ms;7513 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Lago_Bernard%2C_Columbia_Brit%C3%A1nica%2C_Canad%C3%A1%2C_2017-08-26%2C_DD_68-75_PAN.jpg/260px-Lago_Bernard%2C_Columbia_Brit%C3%A1nica%2C_Canad%C3%A1%2C_2017-08-26%2C_DD_68-75_PAN.jpg; ms;7061 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Jeanne_Barret.jpg/85px-Jeanne_Barret.jpg; ms;6039 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Rosa_Luxemburg.jpg/100px-Rosa_Luxemburg.jpg; ms;5035 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Ritratto_di_Alessandro_Manzoni_by_Francesco_Hayez.jpg/106px-Ritratto_di_Alessandro_Manzoni_by_Francesco_Hayez.jpg; ms;4960 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/HSWikimedia.svg/38px-HSWikimedia.svg.png; ms;4351 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/HS_geo.svg/38px-HS_geo.svg.png; ms;3891 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/HSContribs.svg/38px-HSContribs.svg.png; ms;3632 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/HS_VdQ.svg/38px-HS_VdQ.svg.png; ms;3455 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/HSTools.svg/38px-HSTools.svg.png; ms;3401 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Wiktionary-logo.svg/30px-Wiktionary-logo.svg.png; ms;3332 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Wikispecies-logo.svg/30px-Wikispecies-logo.svg.png; ms;3253 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/HSDagensdatum.svg/38px-HSDagensdatum.svg.png; ms;2989 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Wikimedia-logo-circle.svg/38px-Wikimedia-logo-circle.svg.png; ms;2965 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/PL_Wiki_Aktualnosci_ikona.svg/38px-PL_Wiki_Aktualnosci_ikona.svg.png; ms;2939 bytes
https://www.wikipedia.it/images/logo_yepa_txt.png; ms;2920 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/HSUtvald.svg/38px-HSUtvald.svg.png; ms;2902 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Nuvola_apps_bookcase_simplified.svg/15px-Nuvola_apps_bookcase_simplified.svg.png; ms;2747 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Wikibooks-logo.svg/30px-Wikibooks-logo.svg.png; ms;2729 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/PL_Wiki_CzyWiesz_ikona.svg/38px-PL_Wiki_CzyWiesz_ikona.svg.png; ms;2716 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Wikisource-logo.svg/30px-Wikisource-logo.svg.png; ms;2694 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/W-circle.svg/38px-W-circle.svg.png; ms;2620 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Wikimedia_Community_Logo.svg/30px-Wikimedia_Community_Logo.svg.png; ms;2581 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Wikimedia-logo-meta.svg/18px-Wikimedia-logo-meta.svg.png; ms;2541 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Text-x-generic_with_pencil-2.svg/38px-Text-x-generic_with_pencil-2.svg.png; ms;2494 bytes
